id,title,description,location,domain,required_skills,skill_requirements,job_type,duration,required_languages,posted_date,salary_range,employer_id
job_10,Brand Content Manager - Mission Communication,Description de l'offre d'emploi 10 dans le domaine Communication,Rabat,Communication,"['Communication Digitale', 'Community Management']","{'Communication Digitale': 5, 'Community Management': 1}",Temps plein,6 mois,"['Anglais', 'Arabe', 'Français']",2025-04-20,400-1020 MAD/jour,employer_96
job_11,Ingénieur Biomédical - Projet Santé,Description de l'offre d'emploi 11 dans le domaine Santé,Agadir,Santé,"['Pharmacovigilance', 'Recherche Clinique']","{'Pharmacovigilance': 4, 'Recherche Clinique': 3}",Contrat,6 mois,['Arabe'],2025-04-06,350-1365 MAD/jour,employer_0
job_12,Visual Designer - Projet Design & Création,Description de l'offre d'emploi 12 dans le domaine Design & Création,Remote (Maroc),Design & Création,"['Product Design', 'Graphic Design', 'After Effects', 'Illustration', 'Figma']","{'Product Design': 3, 'Graphic Design': 4, 'After Effects': 3, 'Illustration': 1, 'Figma': 2}",Temps plein,1 mois,['Français'],2025-03-28,768-1165 MAD/jour,employer_75
job_13,Commercial B2C - Poste Commerce & Vente,Description de l'offre d'emploi 13 dans le domaine Commerce & Vente,Mohammedia,Commerce & Vente,"['CRM', 'Vente B2B']","{'CRM': 2, 'Vente B2B': 5}",Freelance,1 an,[],2025-03-28,630-1393 MAD/jour,employer_32
job_14,Ingénieur R&D - Mission Ingénierie,Description de l'offre d'emploi 14 dans le domaine Ingénierie,Tétouan,Ingénierie,"['Génie Énergétique', 'Développement Durable', 'Robotique', 'Génie des Procédés']","{'Génie Énergétique': 3, 'Développement Durable': 2, 'Robotique': 5, 'Génie des Procédés': 5}",Mission ponctuelle,1 an,"['Anglais', 'Arabe', 'Français']",2025-03-06,466-854 MAD/jour,employer_94
job_15,Responsable RH - Projet Ressources Humaines,Description de l'offre d'emploi 15 dans le domaine Ressources Humaines,El Jadida,Ressources Humaines,"['Mobilité Interne', 'Relations Sociales', 'Bien-être au Travail']","{'Mobilité Interne': 1, 'Relations Sociales': 4, 'Bien-être au Travail': 5}",Contrat,2 semaines,"['Anglais', 'Français']",2025-04-14,517-1254 MAD/jour,employer_79
job_16,Ingénieur Qualité - Projet Ingénierie,Description de l'offre d'emploi 16 dans le domaine Ingénierie,Kénitra,Ingénierie,"['Conception Technique', 'AutoCAD', 'IoT', 'Génie Mécanique']","{'Conception Technique': 5, 'AutoCAD': 4, 'IoT': 4, 'Génie Mécanique': 5}",Mission ponctuelle,1 semaine,['Arabe'],2025-03-04,387-1339 MAD/jour,employer_55
job_17,Business Analyst - Mission Consulting,Description de l'offre d'emploi 17 dans le domaine Consulting,Mohammedia,Consulting,"['Due Diligence', 'Change Management', 'Études de Marché', 'Benchmark', 'Business Analysis']","{'Due Diligence': 1, 'Change Management': 1, 'Études de Marché': 3, 'Benchmark': 1, 'Business Analysis': 4}",Mission ponctuelle,3 mois,"['Anglais', 'Arabe']",2025-04-04,393-1088 MAD/jour,employer_12
job_18,Chef de Produit Touristique - Projet Tourisme & Hôtellerie,Description de l'offre d'emploi 18 dans le domaine Tourisme & Hôtellerie,Oujda,Tourisme & Hôtellerie,"['Revenue Management', 'Hospitality Management', 'Tour Operating', 'Python', 'WordPress']","{'Revenue Management': 1, 'Hospitality Management': 1, 'Tour Operating': 4, 'Python': 1, 'WordPress': 5}",Freelance,1 semaine,"['Anglais', 'Arabe']",2025-02-24,392-1232 MAD/jour,employer_46
job_19,Consultant Change Management - Projet Consulting,Description de l'offre d'emploi 19 dans le domaine Consulting,Marrakech,Consulting,"['Change Management', 'KPI']","{'Change Management': 3, 'KPI': 3}",Temps plein,1 semaine,"['Anglais', 'Arabe', 'Français']",2025-02-27,358-1131 MAD/jour,employer_65
job_20,Consultant Medical - Mission Santé,Description de l'offre d'emploi 20 dans le domaine Santé,Casablanca,Santé,"['Medical Writing', 'Recherche Clinique', 'Dossier Patient', 'Conseil Médical', 'Santé Digitale', 'Mobile Development']","{'Medical Writing': 3, 'Recherche Clinique': 5, 'Dossier Patient': 2, 'Conseil Médical': 1, 'Santé Digitale': 4, 'Mobile Development': 3}",Temps partiel,1 semaine,[],2025-03-10,777-1255 MAD/jour,employer_27
job_21,Consultant Transformation - Projet Consulting,Description de l'offre d'emploi 21 dans le domaine Consulting,Khouribga,Consulting,"['Études de Marché', 'KPI', 'Due Diligence']","{'Études de Marché': 1, 'KPI': 1, 'Due Diligence': 1}",Temps partiel,1 semaine,['Arabe'],2025-03-03,709-1364 MAD/jour,employer_78
job_22,Directeur Financier - Projet Finance & Comptabilité,Description de l'offre d'emploi 22 dans le domaine Finance & Comptabilité,Rabat,Finance & Comptabilité,"['Comptabilité Générale', ""Finance d'Entreprise"", 'Trésorerie', 'Comptabilité Analytique', 'Paie', 'Mobilité Interne']","{'Comptabilité Générale': 5, ""Finance d'Entreprise"": 4, 'Trésorerie': 4, 'Comptabilité Analytique': 1, 'Paie': 2, 'Mobilité Interne': 3}",Contrat,3 mois,"['Anglais', 'Français']",2025-04-19,332-1370 MAD/jour,employer_91
job_23,Data Engineer - Poste IT & Développement,Description de l'offre d'emploi 23 dans le domaine IT & Développement,Khouribga,IT & Développement,"['Azure', 'Docker', 'Architecture', 'Étude de Prix']","{'Azure': 1, 'Docker': 1, 'Architecture': 5, 'Étude de Prix': 3}",Temps plein,2 semaines,[],2025-03-25,507-1414 MAD/jour,employer_99
job_24,Juriste Droit Social - Mission Droit & Juridique,Description de l'offre d'emploi 24 dans le domaine Droit & Juridique,Agadir,Droit & Juridique,"['Droit des Contrats', 'Propriété Intellectuelle', 'Droit International', 'Médiation', 'Droit Commercial']","{'Droit des Contrats': 3, 'Propriété Intellectuelle': 5, 'Droit International': 3, 'Médiation': 4, 'Droit Commercial': 2}",Contrat,3 mois,"['Anglais', 'Arabe', 'Français']",2025-02-28,433-858 MAD/jour,employer_49
job_25,Ingénieur Pédagogique - Projet Éducation & Formation,Description de l'offre d'emploi 25 dans le domaine Éducation & Formation,Fès,Éducation & Formation,"['MOOC', 'LMS', ""Sciences de l'Éducation"", 'Coaching', 'Création de Cours']","{'MOOC': 1, 'LMS': 5, ""Sciences de l'Éducation"": 2, 'Coaching': 4, 'Création de Cours': 4}",Freelance,1 semaine,"['Arabe', 'Français']",2025-04-01,793-1369 MAD/jour,employer_2
job_26,Illustrator - Mission Design & Création,Description de l'offre d'emploi 26 dans le domaine Design & Création,Kénitra,Design & Création,"['Motion Design', 'Graphic Design', 'Animation', 'Illustrator', 'Figma']","{'Motion Design': 5, 'Graphic Design': 4, 'Animation': 3, 'Illustrator': 1, 'Figma': 3}",Temps partiel,6 mois,"['Anglais', 'Arabe', 'Français']",2025-02-24,433-948 MAD/jour,employer_95
job_27,Responsable Communication Digitale - Mission Communication,Description de l'offre d'emploi 27 dans le domaine Communication,Agadir,Communication,"['Stratégie de Communication', 'Communication Politique', 'Audit']","{'Stratégie de Communication': 3, 'Communication Politique': 1, 'Audit': 2}",Freelance,6 mois,"['Arabe', 'Français']",2025-04-08,749-1432 MAD/jour,employer_56
job_28,Growth Hacker - Projet Marketing Digital,Description de l'offre d'emploi 28 dans le domaine Marketing Digital,Mohammedia,Marketing Digital,"['Instagram Ads', 'SMM', 'CRM']","{'Instagram Ads': 5, 'SMM': 1, 'CRM': 3}",Mission ponctuelle,1 semaine,['Anglais'],2025-03-27,634-810 MAD/jour,employer_5
job_29,Dessinateur Projeteur - Projet Architecture,Description de l'offre d'emploi 29 dans le domaine Architecture,Béni Mellal,Architecture,"['ArchiCAD', 'BIM']","{'ArchiCAD': 5, 'BIM': 4}",Freelance,3 mois,"['Arabe', 'Français']",2025-03-08,353-1499 MAD/jour,employer_6
job_30,Tour Operator - Mission Tourisme & Hôtellerie,Description de l'offre d'emploi 30 dans le domaine Tourisme & Hôtellerie,Safi,Tourisme & Hôtellerie,"['Conciergerie', 'Revenue Management']","{'Conciergerie': 1, 'Revenue Management': 4}",Temps plein,1 an,"['Arabe', 'Français']",2025-03-08,574-806 MAD/jour,employer_0
job_31,Consultant RH - Mission Consulting,Description de l'offre d'emploi 31 dans le domaine Consulting,Tanger,Consulting,"['Conseil en Organisation', 'Benchmark', 'Change Management', 'Process Optimization']","{'Conseil en Organisation': 4, 'Benchmark': 1, 'Change Management': 5, 'Process Optimization': 4}",Temps plein,6 mois,"['Anglais', 'Arabe', 'Français']",2025-03-09,381-981 MAD/jour,employer_70
job_32,Talent Acquisition Manager - Projet Ressources Humaines,Description de l'offre d'emploi 32 dans le domaine Ressources Humaines,Meknès,Ressources Humaines,"['Paie', 'SIRH', 'Account Management']","{'Paie': 3, 'SIRH': 2, 'Account Management': 4}",Freelance,3 mois,"['Arabe', 'Français']",2025-02-25,798-1087 MAD/jour,employer_100
job_33,SEM Expert - Mission Marketing Digital,Description de l'offre d'emploi 33 dans le domaine Marketing Digital,Berrechid,Marketing Digital,"['Copywriting', 'SEM']","{'Copywriting': 5, 'SEM': 3}",Mission ponctuelle,6 mois,"['Arabe', 'Français']",2025-04-23,346-980 MAD/jour,employer_85
job_34,Analyste Financier - Poste Finance & Comptabilité,Description de l'offre d'emploi 34 dans le domaine Finance & Comptabilité,Béni Mellal,Finance & Comptabilité,"['Contrôle de Gestion', 'Comptabilité Analytique', 'ERP Finance', 'Fiscalité', 'Trésorerie', 'Vue.js']","{'Contrôle de Gestion': 3, 'Comptabilité Analytique': 4, 'ERP Finance': 1, 'Fiscalité': 1, 'Trésorerie': 4, 'Vue.js': 2}",Temps plein,2 semaines,"['Arabe', 'Français']",2025-02-26,490-1145 MAD/jour,employer_79
job_35,Sales Director - Mission Commerce & Vente,Description de l'offre d'emploi 35 dans le domaine Commerce & Vente,Safi,Commerce & Vente,"['Category Management', 'Vente B2C']","{'Category Management': 4, 'Vente B2C': 1}",Mission ponctuelle,3 mois,"['Arabe', 'Français']",2025-02-24,747-997 MAD/jour,employer_49
job_36,Content Manager - Poste Marketing Digital,Description de l'offre d'emploi 36 dans le domaine Marketing Digital,Kénitra,Marketing Digital,"['Facebook Ads', 'Branding', 'Affiliate Marketing', 'Growth Hacking', 'Academic Writing']","{'Facebook Ads': 2, 'Branding': 3, 'Affiliate Marketing': 3, 'Growth Hacking': 3, 'Academic Writing': 1}",Temps plein,6 mois,['Anglais'],2025-03-27,586-1274 MAD/jour,employer_26
job_37,Conducteur de Travaux - Mission BTP & Construction,Description de l'offre d'emploi 37 dans le domaine BTP & Construction,Oujda,BTP & Construction,"[""Bureau d'Études"", 'Planning', ""Maîtrise d'Œuvre""]","{""Bureau d'Études"": 1, 'Planning': 1, ""Maîtrise d'Œuvre"": 4}",Mission ponctuelle,2 semaines,"['Anglais', 'Arabe', 'Français']",2025-04-23,687-805 MAD/jour,employer_35
job_38,Architecte - Poste Architecture,Description de l'offre d'emploi 38 dans le domaine Architecture,Mohammedia,Architecture,"['Rénovation', 'Rhinoceros 3D', 'Design Durable']","{'Rénovation': 1, 'Rhinoceros 3D': 5, 'Design Durable': 5}",Contrat,6 mois,['Français'],2025-02-28,734-1499 MAD/jour,employer_31
job_39,Ingénieur Travaux - Poste BTP & Construction,Description de l'offre d'emploi 39 dans le domaine BTP & Construction,Oujda,BTP & Construction,"['Planning', 'Construction Durable']","{'Planning': 5, 'Construction Durable': 1}",Temps plein,1 mois,['Français'],2025-03-25,307-929 MAD/jour,employer_62
job_40,Développeur Fullstack - Mission IT & Développement,Description de l'offre d'emploi 40 dans le domaine IT & Développement,Casablanca,IT & Développement,"['UI/UX', 'WordPress', 'Machine Learning', 'React', 'Laravel', 'Rhinoceros 3D']","{'UI/UX': 1, 'WordPress': 1, 'Machine Learning': 5, 'React': 5, 'Laravel': 3, 'Rhinoceros 3D': 4}",Mission ponctuelle,1 mois,"['Arabe', 'Français']",2025-04-13,548-1114 MAD/jour,employer_3
job_41,Community Manager - Projet Communication,Description de l'offre d'emploi 41 dans le domaine Communication,Safi,Communication,"['Stratégie de Communication', 'Communication Digitale', 'Relations Presse']","{'Stratégie de Communication': 3, 'Communication Digitale': 3, 'Relations Presse': 2}",Temps plein,1 mois,"['Arabe', 'Français']",2025-03-02,489-857 MAD/jour,employer_14
job_42,Juriste Propriété Intellectuelle - Poste Droit & Juridique,Description de l'offre d'emploi 42 dans le domaine Droit & Juridique,Kénitra,Droit & Juridique,"['Droit des Affaires', 'Droit des Contrats', 'Droit Civil', 'Blended Learning', 'MOOC']","{'Droit des Affaires': 3, 'Droit des Contrats': 1, 'Droit Civil': 3, 'Blended Learning': 1, 'MOOC': 2}",Temps plein,6 mois,"['Arabe', 'Français']",2025-04-23,483-894 MAD/jour,employer_37
job_43,Traducteur - Mission Rédaction & Traduction,Description de l'offre d'emploi 43 dans le domaine Rédaction & Traduction,Tanger,Rédaction & Traduction,"['Copywriting', 'Creative Writing', 'Planning']","{'Copywriting': 3, 'Creative Writing': 1, 'Planning': 3}",Freelance,3 mois,"['Anglais', 'Arabe']",2025-03-11,619-948 MAD/jour,employer_100
job_44,Media Planner - Poste Communication,Description de l'offre d'emploi 44 dans le domaine Communication,Mohammedia,Communication,"['Event Management', 'Communication Corporate', 'Stratégie de Communication', 'Communication Politique']","{'Event Management': 2, 'Communication Corporate': 1, 'Stratégie de Communication': 5, 'Communication Politique': 2}",Temps plein,1 mois,['Arabe'],2025-03-29,401-1221 MAD/jour,employer_5
job_45,Consultant en Stratégie - Projet Consulting,Description de l'offre d'emploi 45 dans le domaine Consulting,Marrakech,Consulting,"['Change Management', 'Conseil en Management', 'Transformation Digitale']","{'Change Management': 5, 'Conseil en Management': 3, 'Transformation Digitale': 5}",Mission ponctuelle,2 semaines,"['Arabe', 'Français']",2025-02-26,520-1198 MAD/jour,employer_74
job_46,Chercheur Clinique - Mission Santé,Description de l'offre d'emploi 46 dans le domaine Santé,Oujda,Santé,"['Santé Publique', 'Recherche Clinique', 'Réglementation Médicale', 'Qualité Sanitaire', 'Conseil Médical', 'SolidWorks', 'Prototypage']","{'Santé Publique': 4, 'Recherche Clinique': 5, 'Réglementation Médicale': 1, 'Qualité Sanitaire': 3, 'Conseil Médical': 1, 'SolidWorks': 5, 'Prototypage': 5}",Temps plein,6 mois,['Anglais'],2025-03-27,616-1363 MAD/jour,employer_74
job_47,Responsable Bureau d'Études - Projet BTP & Construction,Description de l'offre d'emploi 47 dans le domaine BTP & Construction,El Jadida,BTP & Construction,"['Étude de Prix', ""Bureau d'Études"", 'Gestion de Chantier', 'Vue.js', 'Flutter']","{'Étude de Prix': 2, ""Bureau d'Études"": 2, 'Gestion de Chantier': 5, 'Vue.js': 5, 'Flutter': 2}",Temps plein,6 mois,"['Arabe', 'Français']",2025-03-09,665-1474 MAD/jour,employer_19
job_48,Chef de Chantier - Poste BTP & Construction,Description de l'offre d'emploi 48 dans le domaine BTP & Construction,Tanger,BTP & Construction,"['Gestion de Chantier', 'Construction Durable', 'Planning', 'Étude de Prix']","{'Gestion de Chantier': 5, 'Construction Durable': 4, 'Planning': 4, 'Étude de Prix': 4}",Freelance,1 semaine,"['Anglais', 'Arabe', 'Français']",2025-03-08,382-1275 MAD/jour,employer_40
job_49,Économiste de la Construction - Poste BTP & Construction,Description de l'offre d'emploi 49 dans le domaine BTP & Construction,Rabat,BTP & Construction,"['AutoCAD', 'Étude de Prix', 'Construction Durable', 'Coordination Travaux', 'Gestion de Chantier']","{'AutoCAD': 4, 'Étude de Prix': 2, 'Construction Durable': 5, 'Coordination Travaux': 1, 'Gestion de Chantier': 5}",Mission ponctuelle,3 mois,"['Anglais', 'Français']",2025-04-23,347-1423 MAD/jour,employer_74
job_50,Expert Comptable - Poste Finance & Comptabilité,Description de l'offre d'emploi 50 dans le domaine Finance & Comptabilité,Khouribga,Finance & Comptabilité,"['Consolidation', 'Comptabilité Analytique', 'Sage', 'Gestion des Risques', 'Budgétisation']","{'Consolidation': 5, 'Comptabilité Analytique': 4, 'Sage': 2, 'Gestion des Risques': 1, 'Budgétisation': 1}",Temps partiel,3 mois,"['Arabe', 'Français']",2025-03-26,570-978 MAD/jour,employer_64
job_51,Web Designer - Projet Design & Création,Description de l'offre d'emploi 51 dans le domaine Design & Création,Settat,Design & Création,"['Photoshop', 'Illustration', 'Web Design', 'Product Design', 'Branding']","{'Photoshop': 5, 'Illustration': 1, 'Web Design': 2, 'Product Design': 4, 'Branding': 5}",Contrat,3 mois,"['Anglais', 'Arabe']",2025-04-04,557-823 MAD/jour,employer_54
job_52,Logo Designer - Projet Design & Création,Description de l'offre d'emploi 52 dans le domaine Design & Création,Kénitra,Design & Création,"['Packaging Design', 'Premiere Pro', 'Figma', 'UX Design', 'After Effects']","{'Packaging Design': 5, 'Premiere Pro': 4, 'Figma': 5, 'UX Design': 4, 'After Effects': 1}",Mission ponctuelle,1 an,"['Arabe', 'Français']",2025-04-24,616-1359 MAD/jour,employer_44
job_53,Enseignant - Projet Éducation & Formation,Description de l'offre d'emploi 53 dans le domaine Éducation & Formation,Khouribga,Éducation & Formation,"['Évaluation', 'Gestion de Formation', 'E-learning', 'Tutorat', 'Édition Pédagogique', 'Simulation', 'Gestion de Projet']","{'Évaluation': 4, 'Gestion de Formation': 2, 'E-learning': 4, 'Tutorat': 1, 'Édition Pédagogique': 2, 'Simulation': 1, 'Gestion de Projet': 2}",Freelance,1 mois,"['Anglais', 'Arabe', 'Français']",2025-04-21,463-1455 MAD/jour,employer_77
job_54,Directeur de Programme Immobilier - Poste BTP & Construction,Description de l'offre d'emploi 54 dans le domaine BTP & Construction,Oujda,BTP & Construction,"['Étude de Prix', ""Bureau d'Études"", 'Gestion de Chantier', 'Coordination Travaux']","{'Étude de Prix': 5, ""Bureau d'Études"": 1, 'Gestion de Chantier': 2, 'Coordination Travaux': 4}",Freelance,1 semaine,['Arabe'],2025-04-16,514-1338 MAD/jour,employer_67
job_55,Chef de Chantier - Poste BTP & Construction,Description de l'offre d'emploi 55 dans le domaine BTP & Construction,Fès,BTP & Construction,"[""Maîtrise d'Œuvre"", 'BIM', 'Immobilier', 'Sécurité Chantier']","{""Maîtrise d'Œuvre"": 1, 'BIM': 2, 'Immobilier': 4, 'Sécurité Chantier': 2}",Freelance,1 an,['Arabe'],2025-04-03,498-940 MAD/jour,employer_34
job_56,Architecte - Projet BTP & Construction,Description de l'offre d'emploi 56 dans le domaine BTP & Construction,Remote (Maroc),BTP & Construction,"['Architecture', 'Planning', 'Étude de Prix', 'Construction Durable']","{'Architecture': 4, 'Planning': 5, 'Étude de Prix': 2, 'Construction Durable': 4}",Freelance,3 mois,"['Arabe', 'Français']",2025-03-28,369-832 MAD/jour,employer_67
job_57,Médecin - Mission Santé,Description de l'offre d'emploi 57 dans le domaine Santé,Taza,Santé,"['Biologie Médicale', 'Santé Publique', 'Réglementation Médicale', 'Conseil Médical', 'Télémédecine']","{'Biologie Médicale': 3, 'Santé Publique': 4, 'Réglementation Médicale': 4, 'Conseil Médical': 3, 'Télémédecine': 4}",Contrat,3 mois,"['Arabe', 'Français']",2025-04-03,623-928 MAD/jour,employer_40
job_58,Hospitality Manager - Projet Tourisme & Hôtellerie,Description de l'offre d'emploi 58 dans le domaine Tourisme & Hôtellerie,Tanger,Tourisme & Hôtellerie,"['Réservation', 'Marketing Touristique', ""Organisation d'Événements"", 'Tour Operating']","{'Réservation': 4, 'Marketing Touristique': 4, ""Organisation d'Événements"": 2, 'Tour Operating': 5}",Freelance,3 mois,"['Anglais', 'Arabe', 'Français']",2025-03-16,438-844 MAD/jour,employer_55
job_59,Développeur Backend - Poste IT & Développement,Description de l'offre d'emploi 59 dans le domaine IT & Développement,Meknès,IT & Développement,"['WordPress', 'SQL', 'Swift', 'Node.js']","{'WordPress': 2, 'SQL': 5, 'Swift': 4, 'Node.js': 5}",Mission ponctuelle,1 an,"['Anglais', 'Arabe', 'Français']",2025-03-07,610-1337 MAD/jour,employer_49
job_60,Ingénieur Mécanique - Mission Ingénierie,Description de l'offre d'emploi 60 dans le domaine Ingénierie,Rabat,Ingénierie,"['SolidWorks', 'Assurance Qualité', 'Conception Technique', 'Génie Mécanique']","{'SolidWorks': 4, 'Assurance Qualité': 1, 'Conception Technique': 1, 'Génie Mécanique': 2}",Mission ponctuelle,1 mois,"['Arabe', 'Français']",2025-04-12,551-1467 MAD/jour,employer_10
job_61,Ingénieur Biomédical - Mission Santé,Description de l'offre d'emploi 61 dans le domaine Santé,Rabat,Santé,"['Réglementation Médicale', 'Pharmacovigilance', 'Medical Writing', 'Reporting Financier']","{'Réglementation Médicale': 1, 'Pharmacovigilance': 1, 'Medical Writing': 1, 'Reporting Financier': 2}",Mission ponctuelle,3 mois,"['Anglais', 'Arabe', 'Français']",2025-04-20,445-1419 MAD/jour,employer_100
job_62,Community Manager - Mission Marketing Digital,Description de l'offre d'emploi 62 dans le domaine Marketing Digital,El Jadida,Marketing Digital,"['SEO', 'SEM']","{'SEO': 4, 'SEM': 4}",Contrat,1 an,"['Anglais', 'Français']",2025-04-09,319-855 MAD/jour,employer_12
job_63,Économiste de la Construction - Poste BTP & Construction,Description de l'offre d'emploi 63 dans le domaine BTP & Construction,Settat,BTP & Construction,"['Construction Durable', 'AutoCAD', ""Maîtrise d'Ouvrage"", ""Bureau d'Études""]","{'Construction Durable': 4, 'AutoCAD': 3, ""Maîtrise d'Ouvrage"": 2, ""Bureau d'Études"": 1}",Mission ponctuelle,6 mois,"['Anglais', 'Arabe']",2025-02-24,757-1268 MAD/jour,employer_87
job_64,Juriste d'Entreprise - Poste Droit & Juridique,Description de l'offre d'emploi 64 dans le domaine Droit & Juridique,Mohammedia,Droit & Juridique,"['Médiation', 'Droit Fiscal', 'Droit du Travail', 'Droit Civil', 'Droit International']","{'Médiation': 3, 'Droit Fiscal': 4, 'Droit du Travail': 5, 'Droit Civil': 1, 'Droit International': 1}",Temps plein,1 semaine,"['Arabe', 'Français']",2025-03-03,553-895 MAD/jour,employer_27
job_65,Formateur - Mission Éducation & Formation,Description de l'offre d'emploi 65 dans le domaine Éducation & Formation,Berrechid,Éducation & Formation,"['Création de Cours', 'E-learning', 'MOOC']","{'Création de Cours': 2, 'E-learning': 2, 'MOOC': 4}",Contrat,1 an,"['Anglais', 'Français']",2025-03-29,473-943 MAD/jour,employer_55
job_66,Commercial B2B - Projet Commerce & Vente,Description de l'offre d'emploi 66 dans le domaine Commerce & Vente,Safi,Commerce & Vente,"['Business Development', 'CRM', 'Export', 'Sales Enablement']","{'Business Development': 3, 'CRM': 1, 'Export': 1, 'Sales Enablement': 4}",Temps partiel,1 an,"['Arabe', 'Français']",2025-03-02,762-1362 MAD/jour,employer_68
job_67,Ingénieur Travaux - Poste BTP & Construction,Description de l'offre d'emploi 67 dans le domaine BTP & Construction,Taza,BTP & Construction,"['Génie Civil', ""Bureau d'Études"", 'Coordination Travaux', 'Sécurité Chantier']","{'Génie Civil': 5, ""Bureau d'Études"": 2, 'Coordination Travaux': 1, 'Sécurité Chantier': 3}",Temps partiel,2 semaines,"['Anglais', 'Arabe', 'Français']",2025-04-21,712-901 MAD/jour,employer_51
job_68,Coach Professionnel - Mission Éducation & Formation,Description de l'offre d'emploi 68 dans le domaine Éducation & Formation,Tétouan,Éducation & Formation,"['Blended Learning', 'Pédagogie']","{'Blended Learning': 2, 'Pédagogie': 5}",Temps partiel,2 semaines,"['Arabe', 'Français']",2025-03-06,667-948 MAD/jour,employer_75
